36,67,68,72,56,34,66,32,45,71,61,40,38,36,61,47,65,58,45,66,71,44,44,28,51,37,63,28,38,38,33,46
36,50,62,40,38,52,45,60,76,46,36,63,36,50,42,71,61,35,40,68,39,35,36,35,40,70,72,53,28,36,50,65
27,61,56,56,28,44,63,44,78,43,51,57,48,67,48,42,47,46,48,76,50,45,46,59,27,45,55,57,30,55,69,57
48,49,31,48,53,35,46,37,56,44,61,72,67,29,35,46,71,29,74,47,34,63,61,51,52,46,34,58,53,37,47,70
73,44,48,42,52,42,46,32,33,58,63,50,26,74,51,45,41,48,52,45,53,40,58,56,61,36,73,36,52,58,54,55
46,35,29,56,50,62,37,51,50,51,45,41,52,46,58,59,48,67,75,46,59,59,72,44,50,53,48,43,50,65,72,36
63,49,54,66,48,65,51,60,45,56,31,46,54,44,71,56,51,49,56,61,68,61,45,52,57,62,45,40,56,52,48,64
68,65,41,66,37,65,65,51,66,40,46,63,56,52,52,66,60,71,40,51,49,68,50,33,44,51,47,51,41,35,40,39
58,64,65,49,54,39,64,35,43,58,59,39,40,66,32,49,59,67,57,68,71,48,49,26,42,37,66,39,33,37,45,35
33,67,61,57,40,51,48,59,71,31,40,63,34,48,64,68,45,55,31,49,41,37,58,35,31,70,67,68,35,38,59,47
30,47,52,45,64,50,61,45,78,47,45,58,49,62,40,40,68,32,30,62,49,43,45,58,50,49,54,57,61,54,51,69
50,62,35,44,54,34,47,42,54,41,47,73,63,46,46,45,46,50,52,29,35,60,67,48,73,45,37,56,54,40,68,58
73,53,47,34,64,42,46,28,33,60,63,54,26,47,34,44,50,48,58,47,57,44,58,47,56,35,73,36,65,50,53,61
